Flow Rate (μL/min),Video Index,Range of Motion (microns),Range of Motion Uncertainty (microns),Velocity (μm/sec),Velocity Uncertainty (μm/sec)
25,1,0.64,0.03,-0.66,1.00
25,2,0.55,0.03,-0.55,0.83
25,3,0.96,0.05,-0.89,1.34
50,1,0.89,0.04,-0.85,1.29
50,2,1.39,0.07,-1.21,1.83
50,3,1.28,0.06,-1.13,1.71
75,1,1.39,0.07,-1.51,2.29
75,2,1.49,0.07,-1.98,2.99
75,3,1.49,0.07,-1.75,2.65
120,1,1.60,0.08,-1.29,1.96
120,2,1.49,0.07,-1.43,2.17
120,3,1.39,0.07,-1.49,2.25
125,1,1.60,0.08,-1.65,2.50
125,2,1.60,0.08,-1.62,2.45
125,3,1.92,0.10,-1.51,2.29
130,1,1.78,0.09,-2.22,3.36
130,2,1.60,0.08,-1.32,2.00
130,3,2.50,0.13,-2.14,3.23
135,1,1.11,0.06,-1.34,2.03
135,2,1.19,0.06,-1.21,1.83
135,3,1.49,0.07,-1.92,2.91
145,1,1.39,0.07,-1.35,2.04
145,2,1.78,0.09,-1.64,2.48
145,3,2.08,0.10,-1.93,2.92
